module,d_in,a,b,k,m,null_kind,n_blocks,raw,cond,null_iso,null_act_raw,null_act_cond,excess_over_iso,excess_raw,excess_cond,h0_excess,excess_raw_corrected
encoder.layers.0.self_attn.v_proj,768,dtd,mnist,8,18,lora,24,0.7215819358825684,0.7249337434768677,0.010416666666666666,0.5104702017270029,0.510662357788533,0.7111652692159017,0.2111117341555655,0.2142713856883347,0.0,0.2111117341555655
encoder.layers.0.self_attn.v_proj,768,dtd,resisc45,8,18,lora,24,0.8878072500228882,0.8901423215866089,0.010416666666666666,0.4989924170076847,0.4993587560020387,0.8773905833562216,0.3888148330152035,0.39078356558457017,0.0,0.3888148330152035
encoder.layers.0.self_attn.v_proj,768,dtd,stanford-cars,8,18,lora,24,0.8549134135246277,0.8552326560020447,0.010416666666666666,0.49319687066599727,0.4934766576625407,0.8444967468579611,0.3617165428586304,0.361755998339504,0.0,0.3617165428586304
encoder.layers.0.self_attn.v_proj,768,dtd,sun397,8,18,lora,24,0.8613927960395813,0.861426830291748,0.010416666666666666,0.5080318707041442,0.5081431232392788,0.8509761293729147,0.35336092533543706,0.35328370705246925,0.0,0.35336092533543706
encoder.layers.0.self_attn.v_proj,768,dtd,svhn,8,18,lora,24,0.7698188424110413,0.770517885684967,0.010416666666666666,0.5085615958087146,0.508810899220407,0.7594021757443746,0.26125724660232663,0.26170698646456003,0.0,0.26125724660232663
encoder.layers.0.self_attn.v_proj,768,eurosat,gtsrb,8,18,lora,24,0.7577104568481445,0.7612320184707642,0.010416666666666666,0.5095244804397225,0.5096719791181386,0.7472937901814779,0.248185976408422,0.2515600393526256,0.0,0.248185976408422
encoder.layers.0.self_attn.v_proj,768,eurosat,mnist,8,18,lora,24,0.7235528826713562,0.7240641713142395,0.010416666666666666,0.5112758460454643,0.5115117314271629,0.7131362160046896,0.21227703662589192,0.21255243988707662,0.0,0.21227703662589192
encoder.layers.0.self_attn.v_proj,768,eurosat,resisc45,8,18,lora,24,0.7952709197998047,0.7963780760765076,0.010416666666666666,0.508399736136198,0.5086846519261599,0.7848542531331381,0.28687118366360664,0.2876934241503477,0.0,0.28687118366360664
encoder.layers.0.self_attn.v_proj,768,eurosat,stanford-cars,8,18,lora,24,0.7556795477867126,0.7582798004150391,0.010416666666666666,0.5041405791416764,0.5042343991808593,0.745262881120046,0.2515389686450362,0.25404540123417974,0.0,0.2515389686450362
encoder.layers.0.self_attn.v_proj,768,eurosat,sun397,8,18,lora,24,0.8245124220848083,0.824266254901886,0.010416666666666666,0.5017295642755926,0.5018679546192288,0.8140957554181417,0.3227828578092158,0.32239830028265715,0.0,0.3227828578092158
encoder.layers.0.self_attn.v_proj,768,eurosat,svhn,8,18,lora,24,0.8277668952941895,0.8284727334976196,0.010416666666666666,0.5011248202063143,0.5012464094907045,0.8173502286275228,0.32664207508787513,0.3272263240069151,0.0,0.32664207508787513
encoder.layers.0.self_attn.v_proj,768,gtsrb,mnist,8,18,lora,24,0.865841805934906,0.8661845326423645,0.010416666666666666,0.5052110585384071,0.5053836866281927,0.8554251392682394,0.3606307473964989,0.36080084601417184,0.0,0.3606307473964989
encoder.layers.0.self_attn.v_proj,768,gtsrb,resisc45,8,18,lora,24,0.8503182530403137,0.8511682748794556,0.010416666666666666,0.5071968412958086,0.5069647934287786,0.8399015863736471,0.34312141174450517,0.3442034814506769,0.0,0.34312141174450517
encoder.layers.0.self_attn.v_proj,768,gtsrb,stanford-cars,8,18,lora,24,0.8515750765800476,0.8545694351196289,0.010416666666666666,0.5087387231178582,0.5086974394507706,0.841158409913381,0.34283635346218944,0.3458719956688583,0.0,0.34283635346218944
encoder.layers.0.self_attn.v_proj,768,gtsrb,sun397,8,18,lora,24,0.8260741233825684,0.8295260071754456,0.010416666666666666,0.4995619095861912,0.49917546147480607,0.8156574567159017,0.3265122137963772,0.3303505457006395,0.0,0.3265122137963772
encoder.layers.0.self_attn.v_proj,768,gtsrb,svhn,8,18,lora,24,0.7894923686981201,0.7917372584342957,0.010416666666666666,0.5070750429295003,0.5068402299657464,0.7790757020314535,0.2824173257686198,0.28489702846854925,0.0,0.2824173257686198
encoder.layers.0.self_attn.v_proj,768,mnist,resisc45,8,18,lora,24,0.7939798831939697,0.7961874008178711,0.010416666666666666,0.5106557672843337,0.5109968301840127,0.7835632165273031,0.283324115909636,0.28519057063385844,0.0,0.283324115909636
encoder.layers.0.self_attn.v_proj,768,mnist,stanford-cars,8,18,lora,24,0.8129289746284485,0.8147078156471252,0.010416666666666666,0.5023730625398457,0.5027888207696378,0.8025123079617819,0.3105559120886028,0.3119189948774874,0.0,0.3105559120886028
encoder.layers.0.self_attn.v_proj,768,mnist,sun397,8,18,lora,24,0.8096389770507812,0.8126927614212036,0.010416666666666666,0.5002978737466037,0.5005060168914497,0.7992223103841146,0.3093411033041775,0.3121867445297539,0.0,0.3093411033041775
encoder.layers.0.self_attn.v_proj,768,mnist,svhn,8,18,lora,24,0.7491620779037476,0.7495831251144409,0.010416666666666666,0.5110616330057383,0.5112722064368427,0.7387454112370809,0.2381004448980093,0.23831091867759824,0.0,0.2381004448980093
encoder.layers.0.self_attn.v_proj,768,resisc45,stanford-cars,8,18,lora,24,0.852604329586029,0.854964554309845,0.010416666666666666,0.5035037398338318,0.5036073406226933,0.8421876629193624,0.34910058975219727,0.35135721368715167,0.0,0.34910058975219727
encoder.layers.0.self_attn.v_proj,768,resisc45,sun397,8,18,lora,24,0.8558996915817261,0.8581703901290894,0.010416666666666666,0.5045881755650043,0.5049091354012489,0.8454830249150594,0.3513115160167217,0.3532612547278404,0.0,0.3513115160167217
encoder.layers.0.self_attn.v_proj,768,resisc45,svhn,8,18,lora,24,0.799083411693573,0.79936683177948,0.010416666666666666,0.5044495183974504,0.5043255453929305,0.7886667450269064,0.29463389329612255,0.2950412863865495,0.0,0.29463389329612255
encoder.layers.0.self_attn.v_proj,768,stanford-cars,sun397,8,18,lora,24,0.9344698190689087,0.9350242018699646,0.010416666666666666,0.5069350115954876,0.507191906683147,0.9240531524022421,0.4275348074734211,0.42783229518681765,0.0,0.4275348074734211
encoder.layers.0.self_attn.v_proj,768,stanford-cars,svhn,8,18,lora,24,0.7472550868988037,0.7475927472114563,0.010416666666666666,0.5048991646617651,0.5050884084776044,0.7368384202321371,0.2423559222370386,0.2425043387338519,0.0,0.2423559222370386
