scope,weighting,base,n_tasks,n_modules,n_cells,k,null_m,block_z,mean_raw,mean_null_iso,mean_null_exact,mean_excess_exact,fraction_explained,fraction_explained_pct,frac_num_sum,frac_den_sum,n_blocks_min,n_blocks_median,n_blocks_max
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,16,32,3.0,0.11993626980961992,0.018229166666666668,0.04223885088943128,0.07769741892018864,0.2360669361413045,23.60669361413045,328.45248016741994,1391.3531709956005,7,17.0,25
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,16,64,1.0,0.11993626980961992,0.018229166666666668,0.04662233637083015,0.07331393343878977,0.2791660447181923,27.916604471819227,388.4185615529565,1391.3531709956005,22,53.0,63
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,16,64,2.0,0.11993626980961992,0.018229166666666668,0.046259477505343566,0.07367679230427636,0.27559836011924577,27.559836011924578,383.4546522731,1391.3531709956005,12,37.0,50
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,16,64,3.0,0.11993626980961992,0.018229166666666668,0.04597317402162296,0.07396309578799697,0.27278337989787227,27.278337989787225,379.5380206158021,1391.3531709956005,7,21.0,39
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,32,16,1.0,0.1534067438118846,0.036458333333333336,0.052130686313826925,0.10127605749805768,0.13401082508400536,13.401082508400536,214.39778877315234,1599.8542553465813,12,16.0,16
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,32,16,2.0,0.1534067438118846,0.036458333333333336,0.05206437960490196,0.10134236420698264,0.13344385107680307,13.344385107680306,213.49071299505886,1599.8542553465813,8,14.0,16
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,32,16,3.0,0.1534067438118846,0.036458333333333336,0.051992991088963304,0.10141375272292129,0.132833423661445,13.283342366144499,212.514118097018,1599.8542553465813,7,13.0,15
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,32,32,1.0,0.1534067438118846,0.036458333333333336,0.06333999277209366,0.09006675103979095,0.22985912616307438,22.985912616307438,367.7411011222413,1599.8542553465813,17,29.0,32
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,32,32,2.0,0.1534067438118846,0.036458333333333336,0.06306136998012075,0.09034537383176384,0.2274766842741014,22.74766842741014,363.92954132805187,1599.8542553465813,10,24.0,28
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,32,32,3.0,0.1534067438118846,0.036458333333333336,0.06285934727093542,0.09054739654094918,0.22574923275630263,22.574923275630262,361.1658706663966,1599.8542553465813,7,17.0,25
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,32,64,1.0,0.1534067438118846,0.036458333333333336,0.07197839887132017,0.08142834494056443,0.30372422671363575,30.372422671363573,485.91449655965994,1599.8542553465813,22,53.0,63
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,32,64,2.0,0.1534067438118846,0.036458333333333336,0.0715788558543745,0.0818278879575101,0.300307822717115,30.030782271711498,480.4487480878431,1599.8542553465813,12,37.0,50
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,32,64,3.0,0.1534067438118846,0.036458333333333336,0.07125100756019438,0.08215573625169023,0.2975044644428249,29.750446444282492,475.9637834234592,1599.8542553465813,7,21.0,39
